,title,price,rating,availability
179,Mrs. Houdini,30.25,5,True
180,Modern Romance,28.26,5,True
181,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,1,True
182,Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,True
183,Little Red,13.47,3,True
184,Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,5,True
185,Large Print Heart of the Pride,19.15,2,True
186,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,True
187,Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,1,True
188,Grumbles,22.16,2,True
189,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,True
190,Frostbite (Vampire Academy #2),29.99,5,True
191,Follow You Home,21.36,1,True
192,First Steps for New Christians (Print Edition),29.0,1,True
193,Finders Keepers (Bill Hodges Trilogy #2),53.53,5,True
194,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,True
195,Eureka Trivia 6.0,54.59,4,True
196,Drive: The Surprising Truth About What Motivates Us,34.95,4,True
197,Done Rubbed Out (Reightman & Bailey #1),37.72,5,True
198,Doing It Over (Most Likely To #1),35.61,3,True
199,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,True
